Estado,Municipio,Código INEGI,Año,Total Desaparecidos,Tasa de desaparecidos
Aguascalientes,Aguascalientes,01001,2006,0,0
Aguascalientes,Aguascalientes,01001,2007,22,2.927489996
Aguascalientes,Aguascalientes,01001,2008,6,0.7852107882
Aguascalientes,Aguascalientes,01001,2009,19,2.4468927383
Aguascalientes,Aguascalientes,01001,2010,17,2.1557135582
Aguascalientes,Aguascalientes,01001,2011,26,3.2480106354
Aguascalientes,Aguascalientes,01001,2012,11,1.3544229269
Aguascalientes,Aguascalientes,01001,2013,15,1.7827256918
Aguascalientes,Aguascalientes,01001,2014,48,5.6258363724
Aguascalientes,Asientos,01002,2006,0,0
Aguascalientes,Asientos,01002,2007,0,0
Aguascalientes,Asientos,01002,2008,0,0
Aguascalientes,Asientos,01002,2009,0,0
Aguascalientes,Asientos,01002,2010,0,0
Aguascalientes,Asientos,01002,2011,0,0
Aguascalientes,Asientos,01002,2012,2,4.821600914
Aguascalientes,Asientos,01002,2013,0,0
Aguascalientes,Asientos,01002,2014,1,2.0565958023
Aguascalientes,Calvillo,01003,2006,0,0
Aguascalientes,Calvillo,01003,2007,0,0
Aguascalientes,Calvillo,01003,2008,0,0
Aguascalientes,Calvillo,01003,2009,0,0
Aguascalientes,Calvillo,01003,2010,0,0
Aguascalientes,Calvillo,01003,2011,0,0
Aguascalientes,Calvillo,01003,2012,0,0
Aguascalientes,Calvillo,01003,2013,0,0
Aguascalientes,Calvillo,01003,2014,4,7.0163578987
Aguascalientes,Cosío,01004,2006,0,0
Aguascalientes,Cosío,01004,2007,1,7.1225070953
Aguascalientes,Cosío,01004,2008,0,0
Aguascalientes,Cosío,01004,2009,0,0
Aguascalientes,Cosío,01004,2010,0,0
Aguascalientes,Cosío,01004,2011,0,0
Aguascalientes,Cosío,01004,2012,0,0
Aguascalientes,Cosío,01004,2013,0,0
Aguascalientes,Cosío,01004,2014,0,0
Aguascalientes,Jesús María,01005,2006,0,0
Aguascalientes,Jesús María,01005,2007,1,1.1282988787
Aguascalientes,Jesús María,01005,2008,0,0
Aguascalientes,Jesús María,01005,2009,1,1.0482510328
Aguascalientes,Jesús María,01005,2010,0,0
Aguascalientes,Jesús María,01005,2011,3,2.9355642796
Aguascalientes,Jesús María,01005,2012,1,0.9469159245
Aguascalientes,Jesús María,01005,2013,0,0
Aguascalientes,Jesús María,01005,2014,4,3.6522696018
Aguascalientes,Pabellón de Arteaga,01006,2006,0,0
Aguascalientes,Pabellón de Arteaga,01006,2007,0,0
Aguascalientes,Pabellón de Arteaga,01006,2008,1,2.4412870407
Aguascalientes,Pabellón de Arteaga,01006,2009,0,0
Aguascalientes,Pabellón de Arteaga,01006,2010,0,0
Aguascalientes,Pabellón de Arteaga,01006,2011,0,0
Aguascalientes,Pabellón de Arteaga,01006,2012,0,0
Aguascalientes,Pabellón de Arteaga,01006,2013,0,0
Aguascalientes,Pabellón de Arteaga,01006,2014,1,2.2677476406
Aguascalientes,Rincón de Romos,01007,2006,0,0
Aguascalientes,Rincón de Romos,01007,2007,0,0
Aguascalientes,Rincón de Romos,01007,2008,0,0
Aguascalientes,Rincón de Romos,01007,2009,0,0
Aguascalientes,Rincón de Romos,01007,2010,0,0
Aguascalientes,Rincón de Romos,01007,2011,1,2.0823354721
Aguascalientes,Rincón de Romos,01007,2012,0,0
Aguascalientes,Rincón de Romos,01007,2013,0,0
Aguascalientes,Rincón de Romos,01007,2014,0,0
Aguascalientes,San José de Gracia,01008,2006,0,0
Aguascalientes,San José de Gracia,01008,2007,1,12.8816175461
Aguascalientes,San José de Gracia,01008,2008,0,0
Aguascalientes,San José de Gracia,01008,2009,0,0
Aguascalientes,San José de Gracia,01008,2010,0,0
Aguascalientes,San José de Gracia,01008,2011,0,0
Aguascalientes,San José de Gracia,01008,2012,0,0
Aguascalientes,San José de Gracia,01008,2013,0,0
Aguascalientes,San José de Gracia,01008,2014,0,0
Aguascalientes,Tepezalá,01009,2006,0,0
Aguascalientes,Tepezalá,01009,2007,0,0
Aguascalientes,Tepezalá,01009,2008,0,0
Aguascalientes,Tepezalá,01009,2009,0,0
Aguascalientes,Tepezalá,01009,2010,0,0
Aguascalientes,Tepezalá,01009,2011,0,0
Aguascalientes,Tepezalá,01009,2012,0,0
Aguascalientes,Tepezalá,01009,2013,0,0
Aguascalientes,Tepezalá,01009,2014,1,4.7372317314
Aguascalientes,El Llano,01010,2006,0,0
Aguascalientes,El Llano,01010,2007,0,0
Aguascalientes,El Llano,01010,2008,0,0
Aguascalientes,El Llano,01010,2009,0,0
Aguascalientes,El Llano,01010,2010,1,5.5778670311
Aguascalientes,El Llano,01010,2011,0,0
Aguascalientes,El Llano,01010,2012,0,0
Aguascalientes,El Llano,01010,2013,0,0
Aguascalientes,El Llano,01010,2014,0,0
Aguascalientes,San Francisco de los Romo,01011,2006,0,0
Aguascalientes,San Francisco de los Romo,01011,2007,0,0
Aguascalientes,San Francisco de los Romo,01011,2008,0,0
Aguascalientes,San Francisco de los Romo,01011,2009,0,0
Aguascalientes,San Francisco de los Romo,01011,2010,0,0
Aguascalientes,San Francisco de los Romo,01011,2011,0,0
Aguascalientes,San Francisco de los Romo,01011,2012,0,0
Aguascalientes,San Francisco de los Romo,01011,2013,0,0
Aguascalientes,San Francisco de los Romo,01011,2014,3,7.5525560379
Baja California,Ensenada,02001,2006,0,0
Baja California,Ensenada,02001,2007,0,0
Baja California,Ensenada,02001,2008,0,0
Baja California,Ensenada,02001,2009,2,0.4388852417
Baja California,Ensenada,02001,2010,0,0
Baja California,Ensenada,02001,2011,1,0.209742099
Baja California,Ensenada,02001,2012,1,0.2052123994
Baja California,Ensenada,02001,2013,46,9.1358270645
Baja California,Ensenada,02001,2014,5,0.9769970775
Baja California,Mexicali,02002,2006,0,0
Baja California,Mexicali,02002,2007,4,0.4487519562
Baja California,Mexicali,02002,2008,1,0.1100444123
Baja California,Mexicali,02002,2009,4,0.4319458604
Baja California,Mexicali,02002,2010,6,0.6360473633
Baja California,Mexicali,02002,2011,4,0.416410327
Baja California,Mexicali,02002,2012,20,2.0453410149
Baja California,Mexicali,02002,2013,61,6.1100506783
Baja California,Mexicali,02002,2014,59,5.8294715881
Baja California,Tecate,02003,2006,0,0
Baja California,Tecate,02003,2007,0,0
Baja California,Tecate,02003,2008,0,0
Baja California,Tecate,02003,2009,0,0
Baja California,Tecate,02003,2010,0,0
Baja California,Tecate,02003,2011,3,2.6214380264
Baja California,Tecate,02003,2012,12,10.1086683273
Baja California,Tecate,02003,2013,3,2.7769861221
Baja California,Tecate,02003,2014,2,1.8252333403
Baja California,Tijuana,02004,2006,0,0
Baja California,Tijuana,02004,2007,3,0.2013272792
Baja California,Tijuana,02004,2008,21,1.3635725975
Baja California,Tijuana,02004,2009,5,0.3143823743
Baja California,Tijuana,02004,2010,2,0.1218644306
Baja California,Tijuana,02004,2011,11,0.6499875784
Baja California,Tijuana,02004,2012,95,5.4474725723
Baja California,Tijuana,02004,2013,66,3.9512321949
Baja California,Tijuana,02004,2014,274,16.1515655518
Baja California,Playas de Rosarito,02005,2006,0,0
Baja California,Playas de Rosarito,02005,2007,0,0
Baja California,Playas de Rosarito,02005,2008,3,3.5956995487
Baja California,Playas de Rosarito,02005,2009,0,0
Baja California,Playas de Rosarito,02005,2010,0,0
Baja California,Playas de Rosarito,02005,2011,0,0
Baja California,Playas de Rosarito,02005,2012,0,0
Baja California,Playas de Rosarito,02005,2013,1,0.9918996692
Baja California,Playas de Rosarito,02005,2014,41,39.7793617249
Baja California Sur,Comondú,03001,2006,0,0
