cve_estado,nom_estado,cve_mun,nom_mun,pob_alimentaria,pob_capacidades,pob_patrimonio,analfabeta,no_escuela,ed_basica,rezago
01,Aguascalientes,01001,Aguascalientes,12.1,20.4,48.0,,3.19         ,3.83         ,-1.63691
01,Aguascalientes,01002,Asientos,19.9,28.9,56.8,,6.75         ,5.49         ,-0.95642
01,Aguascalientes,01003,Calvillo,24.9,35.2,62.5,,8.15         ,8.93         ,-1.12218
01,Aguascalientes,01004,Cosío,14.8,22.6,49.8,,6.71         ,4.18         ,-1.07846
01,Aguascalientes,01005,Jesús María,18.7,28.4,55.8,,5.33         ,5.69         ,-1.21094
01,Aguascalientes,01006,Pabellón de Arteaga,24.9,36.2,64.8,,5.58         ,5.35         ,-1.32136
01,Aguascalientes,01007,Rincón de Romos,25.3,36.0,63.4,,6.49         ,4.30         ,-1.19719
01,Aguascalientes,01008,San José de Gracia,27.0,35.9,60.5,,5.15         ,4.78         ,-1.00502
01,Aguascalientes,01009,Tepezalá,18.8,27.4,54.9,,6.31         ,5.22         ,-1.04535
01,Aguascalientes,01010,El Llano,21.8,30.5,57.0,,7.38         ,5.50         ,-0.88684
01,Aguascalientes,01011,San Francisco de los Romo,11.3,17.2,40.2,,6.09         ,5.35         ,-1.31559
02,Baja California,02001,Ensenada,3.7,5.5,14.3,,5.05         ,6.16         ,-1.11803
02,Baja California,02002,Mexicali,1.5,2.6,10.3,,2.88         ,3.63         ,-1.49930
02,Baja California,02003,Tecate,1.0,1.8,8.1,,3.60         ,3.71         ,-1.12670
02,Baja California,02004,Tijuana,0.5,1.1,7.1,,2.52         ,5.10         ,-1.15234
02,Baja California,02005,Playas de Rosarito,0.9,1.8,8.8,,3.45         ,4.58         ,-0.80672
03,Baja California Sur,03001,Comondú,10.3,16.7,41.6,,6.10         ,3.83         ,-1.13885
03,Baja California Sur,03002,Mulegé,6.6,8.9,17.7,,6.07         ,8.95         ,-0.68801
03,Baja California Sur,03003,La Paz,4.8,8.3,25.9,,2.60         ,3.05         ,-1.40997
03,Baja California Sur,03008,Los Cabos,1.4,3.1,14.1,,3.17         ,3.71         ,-0.90900
03,Baja California Sur,03009,Loreto,8.2,11.7,25.3,,3.65         ,2.68         ,-1.08907
04,Campeche,04001,Calkiní,43.0,51.8,71.6,,16.83         ,3.84         ,-0.21754
04,Campeche,04002,Campeche,9.1,15.7,41.9,,6.24         ,2.72         ,-1.38166
04,Campeche,04003,Carmen,8.3,13.4,35.9,,6.66         ,5.81         ,-0.94170
04,Campeche,04004,Champotón,29.3,39.0,65.0,,14.12         ,5.98         ,-0.37671
04,Campeche,04005,Hecelchakán,27.8,36.5,59.4,,14.66         ,5.29         ,-0.15203
04,Campeche,04006,Hopelchén,38.8,48.4,71.2,,15.85         ,9.56         ,0.17493
04,Campeche,04007,Palizada,23.2,31.6,55.9,,12.21         ,5.86         ,-0.41531
04,Campeche,04008,Tenabo,25.8,34.2,58.0,,14.67         ,5.06         ,-0.07808
04,Campeche,04009,Escárcega,33.4,44.1,72.5,,14.66         ,5.90         ,-0.34753
04,Campeche,04010,Calakmul,44.1,51.6,67.8,,22.05         ,5.24         ,1.09360
